  binid|low|high|count
- 0|0.0|3300000.0|459767
- 1|3300000.0|6600000.0|104919
- 2|6600000.0|9900000.0|58004
- 3|9900000.0|13200000.0|38385
- 4|13200000.0|16500000.0|23031
- 5|16500000.0|19800000.0|13648
- 6|19800000.0|23100000.0|19619
- 7|23100000.0|26400000.0|6824
- 8|26400000.0|29700000.0|2559
+ 0|507500.0|3756750.0|558
+ 1|3756750.0|7006000.0|114
+ 2|7006000.0|10255250.0|60
+ 3|10255250.0|13504500.0|44
+ 4|13504500.0|16753750.0|24
+ 5|16753750.0|20003000.0|19
+ 6|20003000.0|23252250.0|21
+ 7|23252250.0|26501500.0|7
+ 8|26501500.0|29750750.0|3
